School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Location ZIP [Public School] 2018-19,School Type [Public School] 2018-19,Charter School [Public School] 2018-19,Magnet School [Public School] 2018-19,Shared Time School [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year
VAN ORIN ELEM SCHOOL,Illinois,1721680,61374,1-Regular school,2-No,2-No,2-No,50,20,†,25,25,5.58,8.96,172168002433,17
VANDALIA COMMUNITY HIGH SCHOOL,Illinois,1740140,62471,1-Regular school,2-No,2-No,2-No,410,207,410,211,199,31.25,13.12,174014004044,17
VANDALIA ELEMENTARY SCHOOL,Illinois,1740140,62471,1-Regular school,2-No,2-No,2-No,488,293,†,263,225,32.21,15.15,174014004629,17
VANDALIA JUNIOR HIGH SCHOOL,ILLINOIS,1740140,62471,1-Regular school,2-No,2-No,2-No,526,313,†,258,268,36.90,14.25,174014006378,17
VANDERPOEL ELEM MAGNET SCHOOL,Illinois,1709930,60643,1-Regular school,2-No,1-Yes,2-No,254,165,†,127,127,16.00,15.88,170993001131,17
VANGUARD SCHOOL,Illinois,1704170,60005,1-Regular school,2-No,2-No,2-No,110,48,110,43,67,9.90,11.11,170417001965,17
VAUGHN OCCUPATIONAL HIGH SCHOOL,Illinois,1709930,60641,1-Regular school,2-No,2-No,2-No,228,166,228,150,78,28.50,8.00,170993001018,17
VENICE ELEM SCHOOL,Illinois,1740200,62090,1-Regular school,2-No,2-No,2-No,80,77,†,44,36,12.00,6.67,174020004047,17
VERDA DIERZEN EARLY LEARNING CTR,Illinois,1743330,60098,1-Regular school,2-No,2-No,2-No,666,324,†,344,322,32.10,20.75,174333004186,17
VERMILION CO DETENTION CENTER,ILLINOIS,1711790,61832,1-Regular school,2-No,2-No,2-No,5,†,5,3,2,2.00,2.50,171179006672,17
VERNON HILLS HIGH SCHOOL,Illinois,1722830,60061,1-Regular school,2-No,2-No,2-No,1459,153,1459,731,728,103.06,14.16,172283004092,17
VERNON L BARKSTALL ELEMENTARY SCH,Illinois,1709420,61822,1-Regular school,2-No,2-No,2-No,445,175,†,234,211,33.17,13.42,170942002361,17
VETERANS MEMORIAL MIDDLE SCH,Illinois,1706510,60406,1-Regular school,2-No,2-No,2-No,377,337,†,178,199,30.00,12.57,170651004244,17
VICK EARLY CHILDHOOD & FAMILY CTR,Illinois,1709930,60655,1-Regular school,2-No,2-No,2-No,333,173,†,190,143,25.00,13.32,170993003570,17
VICTOR J ANDREW HIGH SCHOOL,Illinois,1708400,60487,1-Regular school,2-No,2-No,2-No,2214,391,2214,1157,1057,146.10,15.15,170840000460,17
VIENNA ELEM SCHOOL DIST 55,Illinois,1740260,62995,1-Regular school,2-No,2-No,2-No,400,237,†,213,187,29.00,13.79,174026004049,17
VIENNA HIGH SCHOOL,Illinois,1740290,62995,1-Regular school,2-No,2-No,2-No,386,190,386,182,204,23.44,16.47,174029004050,17
VIKING SCHOOL,Illinois,1717800,60031,1-Regular school,2-No,2-No,2-No,534,163,†,261,273,49.00,10.90,171780002076,17
VILLA GROVE ELEM SCHOOL,Illinois,1740320,61956,1-Regular school,2-No,2-No,2-No,352,186,†,189,163,26.00,13.54,174032004869,17
VILLA GROVE HIGH SCHOOL,Illinois,1740320,61956,1-Regular school,2-No,2-No,2-No,193,67,193,97,96,16.88,11.43,174032004051,17
VILLA GROVE JR HIGH SCHOOL,Illinois,1740320,61956,1-Regular school,2-No,2-No,2-No,106,53,†,53,53,4.50,23.56,174032004870,17
VILLAGE ELEMENTARY SCHOOL,Illinois,1734990,60073,1-Regular school,2-No,2-No,2-No,424,328,†,215,209,28.50,14.88,173499003669,17
VIRGIL I GRISSOM MIDDLE SCHOOL,Illinois,1721270,60477,1-Regular school,2-No,2-No,2-No,606,88,†,322,284,47.50,12.76,172127002402,17
VIRGINIA ELEM SCHOOL,Illinois,1740410,62691,1-Regular school,2-No,2-No,2-No,161,90,†,78,83,11.20,14.38,174041004871,17
VIRGINIA JR/ SR HIGH SCHOOL,Illinois,1740410,62691,1-Regular school,2-No,2-No,2-No,145,73,71,64,81,15.80,9.18,174041004070,17
VIRGINIA LAKE ELEM SCHOOL,Illinois,1730420,60074,1-Regular school,2-No,2-No,2-No,745,478,†,378,367,46.45,16.04,173042003156,17
VISUALLY IMPAIRED PROGRAMS,ILLINOIS,1701425,60532,2-Special education school,2-No,2-No,2-No,31,12,3,17,14,15.80,1.96,170142506406,17
VIVIAN ADAMS EARLY CHILD CTR,Illinois,1713320,62201,1-Regular school,2-No,2-No,2-No,375,215,†,177,198,22.00,17.05,171332003246,17
VOLTA ELEM SCHOOL,Illinois,1709930,60625,1-Regular school,2-No,2-No,2-No,828,745,†,444,384,47.50,17.43,170993001138,17
VON STEUBEN METRO SCIENCE HS,Illinois,1709930,60625,1-Regular school,2-No,1-Yes,2-No,1774,1177,1774,871,903,102.50,17.31,170993001180,17
VON STEUBEN MIDDLE SCHOOL,Illinois,1731230,61603,1-Regular school,2-No,2-No,2-No,337,260,†,179,158,23.25,14.49,173123005326,17
W A JOHNSON SCH,Illinois,1705910,60106,1-Regular school,2-No,2-No,2-No,657,420,†,312,345,49.82,13.19,170591000269,17
W C PETTY ELEMENTARY SCHOOL,Illinois,1703840,60002,1-Regular school,2-No,2-No,2-No,416,117,†,226,190,29.87,13.93,170384004366,17
W J MURPHY ELEM SCHOOL,Illinois,1734990,60073,1-Regular school,2-No,2-No,2-No,511,414,†,279,232,36.50,14.00,173499003670,17
W J ZAHNOW ELEM SCHOOL,Illinois,1741070,62298,1-Regular school,2-No,2-No,2-No,436,87,†,224,212,26.16,16.67,174107004879,17
W S BEAUPRE ELEM SCHOOL,Illinois,1704680,60505,1-Regular school,2-No,2-No,2-No,178,131,†,90,88,13.50,13.19,170468000156,17
W W WALKER ELEM SCHOOL,Illinois,1704050,60501,1-Regular school,2-No,2-No,2-No,205,142,†,97,108,16.00,12.81,170405000092,17
W W WOODBURY ELEM SCHOOL,Illinois,1735370,60548,1-Regular school,2-No,2-No,2-No,166,71,†,75,91,11.40,14.56,173537003695,17
WACKER ELEM SCHOOL,Illinois,1709930,60643,1-Regular school,2-No,2-No,2-No,266,230,†,126,140,17.00,15.65,170993001141,17
WADSWORTH ELEM SCHOOL,Illinois,1709930,60637,1-Regular school,2-No,2-No,2-No,539,483,†,260,279,31.00,17.39,170993001144,17
WAGONER ELEM,Illinois,1735460,60411,1-Regular school,2-No,2-No,2-No,493,312,†,254,239,41.00,12.02,173546003700,17
WALDEN ELEM SCHOOL,Illinois,1711980,60015,1-Regular school,2-No,2-No,2-No,480,8,†,222,258,34.50,13.91,171198001439,17
WALKER ELEM SCHOOL,Illinois,1714460,60203,1-Regular school,2-No,2-No,2-No,386,162,†,207,179,31.70,12.18,171446001801,17
WALKER INTERMEDIATE SCHOOL,Illinois,1738220,60487,1-Regular school,2-No,2-No,2-No,685,84,†,354,331,48.73,14.06,173822005454,17
WALKER SCHOOL,Illinois,1719290,60514,1-Regular school,2-No,2-No,2-No,286,8,†,145,141,24.45,11.70,171929002221,17
WALKERS GROVE ELEMENTARY SCHOOL,Illinois,1731740,60544,1-Regular school,2-No,2-No,2-No,577,44,†,267,310,33.60,17.17,173174000139,17
WALLACE ELEM SCHOOL,Illinois,1740530,61350,1-Regular school,2-No,2-No,2-No,352,91,†,192,160,27.10,12.99,174053004082,17
WALNUT COURT EARLY YEARS PRGM,Illinois,1720280,62650,1-Regular school,2-No,2-No,2-No,178,81,†,94,84,7.00,25.43,172028004190,17
WALNUT TRAILS ELEM SCHOOL,Illinois,1726310,60404,1-Regular school,2-No,2-No,2-No,568,61,†,297,271,34.00,16.71,172631005199,17
WALSH ELEM SCHOOL,Illinois,1709930,60608,1-Regular school,2-No,2-No,2-No,298,230,†,161,137,23.00,12.96,170993001136,17
WALSH ELEM SCHOOL,Illinois,1723730,60441,1-Regular school,2-No,2-No,2-No,341,67,†,195,146,30.25,11.27,172373002592,17
WALSH ELEM SCHOOL,Illinois,1704050,60501,1-Regular school,2-No,2-No,2-No,235,194,†,126,109,19.05,12.34,170405000093,17
WALT WHITMAN ELEM SCHOOL,Illinois,1742210,60090,1-Regular school,2-No,2-No,2-No,481,348,†,247,234,30.30,15.87,174221004238,17
WALTER F FIERKE ED CENTER,Illinois,1739030,60452,1-Regular school,2-No,2-No,2-No,383,97,†,196,187,29.00,13.21,173903003962,17
WALTER HENRI DYETT HS FOR ARTS,ILLINOIS,1709930,60615,1-Regular school,2-No,1-Yes,2-No,478,407,478,211,267,26.00,18.38,170993006400,17
WALTER R SUNDLING JR HIGH SCH,Illinois,1730420,60067,1-Regular school,2-No,2-No,2-No,650,203,†,312,338,39.17,16.59,173042003160,17
WALTHAM ELEMENTARY SCHOOL,Illinois,1740620,61373,1-Regular school,2-No,2-No,2-No,198,18,†,101,97,17.21,11.50,174062004085,17
WALTONVILLE GRADE SCHOOL,Illinois,1740650,62894,1-Regular school,2-No,2-No,2-No,240,106,†,132,108,20.79,11.54,174065004086,17
WALTONVILLE HIGH SCHOOL,Illinois,1740650,62894,1-Regular school,2-No,2-No,2-No,111,35,111,57,54,8.77,12.66,174065004087,17
WANDA KENDALL ELEM SCHOOL,Illinois,1720170,60970,1-Regular school,2-No,2-No,2-No,214,136,†,112,102,16.93,12.64,172017002268,17
WARD  J ELEM SCHOOL,Illinois,1709930,60616,1-Regular school,2-No,2-No,2-No,555,451,†,282,273,30.00,18.50,170993001143,17
WARD  L ELEM SCHOOL,Illinois,1709930,60624,1-Regular school,2-No,2-No,2-No,376,370,†,200,176,28.00,13.43,170993001212,17
WARREN ELEM SCHOOL,Illinois,1709930,60617,1-Regular school,2-No,2-No,2-No,214,197,†,97,117,12.00,17.83,170993001166,17
WARREN ELEMENTARY SCHOOL,Illinois,1740740,61087,1-Regular school,2-No,2-No,2-No,193,53,†,102,91,17.23,11.20,174074004435,17
WARREN JR/SR HIGH SCHOOL,Illinois,1740740,61087,1-Regular school,2-No,2-No,2-No,189,52,89,99,90,17.75,10.65,174074004094,17
WARREN PARK SCHOOL,Illinois,1710200,60804,1-Regular school,2-No,2-No,2-No,690,641,†,362,328,42.00,16.43,171020005153,17
WARREN TOWNSHIP HIGH SCHOOL,Illinois,1740800,60031,1-Regular school,2-No,2-No,2-No,3913,646,3913,2031,1882,236.40,16.55,174080004097,17
WARRENSBURG-LATHAM ELEM SCH,Illinois,1740830,62573,1-Regular school,2-No,2-No,2-No,445,207,†,236,209,26.00,17.12,174083004876,17
WARRENSBURG-LATHAM HIGH SCHOOL,Illinois,1740830,62573,1-Regular school,2-No,2-No,2-No,309,87,309,171,138,20.50,15.07,174083004099,17
WARRENSBURG-LATHAM MIDDLE SCH,Illinois,1740830,62573,1-Regular school,2-No,2-No,2-No,216,77,†,100,116,14.50,14.90,174083006189,17
WARSAW ELEM SCHOOL,Illinois,1740890,62379,1-Regular school,2-No,2-No,2-No,210,82,†,108,102,16.99,12.36,174089004101,17
WARSAW SR HIGH SCHOOL,Illinois,1740890,62379,1-Regular school,2-No,2-No,2-No,192,34,192,95,97,14.98,12.82,174089004102,17
WASCO ELEM SCHOOL,Illinois,1737170,60183,1-Regular school,2-No,2-No,2-No,400,28,†,209,191,23.30,17.17,173717003860,17
WASHINGTON  G ELEM SCHOOL,Illinois,1709930,60617,1-Regular school,2-No,2-No,2-No,823,580,†,391,432,47.00,17.51,170993001145,17
WASHINGTON  H ELEM SCHOOL,Illinois,1709930,60619,1-Regular school,2-No,2-No,2-No,316,312,†,170,146,21.00,15.05,170993001031,17
WASHINGTON ACADEMY,Illinois,1705790,61008,1-Regular school,2-No,1-Yes,2-No,825,513,†,444,381,55.14,14.96,170579000262,17
WASHINGTON ATTENDANCE CENTER,Illinois,1708500,62821,1-Regular school,2-No,2-No,2-No,345,194,†,175,170,19.17,18.00,170850005297,17
WASHINGTON COMM HIGH SCHOOL,Illinois,1740980,61571,1-Regular school,2-No,2-No,2-No,1357,294,1357,706,651,81.00,16.75,174098004105,17
WASHINGTON DUAL LANGUAGE ACADEMY,Illinois,1725110,60153,1-Regular school,2-No,1-Yes,2-No,308,88,†,148,160,17.01,18.11,172511002747,17
WASHINGTON ELEM SCHOOL,Illinois,1714460,60202,1-Regular school,2-No,2-No,2-No,536,221,†,288,248,39.15,13.69,171446001802,17
WASHINGTON ELEM SCHOOL,Illinois,1735640,60176,1-Regular school,2-No,2-No,2-No,306,212,†,156,150,25.60,11.95,173564003713,17
WASHINGTON ELEM SCHOOL,Illinois,1713710,60123,1-Regular school,2-No,2-No,2-No,399,347,†,189,210,22.44,17.78,171371001704,17
WASHINGTON ELEM SCHOOL,Illinois,1700332,62681,1-Regular school,2-No,2-No,2-No,202,15,†,96,106,13.00,15.54,170033205814,17
WASHINGTON ELEM SCHOOL,Illinois,1734230,62454,1-Regular school,2-No,2-No,2-No,422,190,†,207,215,25.32,16.67,173423003509,17
WASHINGTON ELEM SCHOOL,Illinois,1709420,61820,1-Regular school,2-No,2-No,2-No,422,264,†,220,202,31.25,13.50,170942000555,17
WASHINGTON ELEM SCHOOL,ILLINOIS,1718420,60033,1-Regular school,2-No,2-No,2-No,164,92,†,90,74,8.50,19.29,171842006365,17
WASHINGTON ELEM SCHOOL,Illinois,1742310,61081,1-Regular school,2-No,2-No,2-No,381,239,†,192,189,21.95,17.36,174231004260,17
WASHINGTON ELEM SCHOOL,Illinois,1706480,61701,1-Regular school,2-No,2-No,2-No,385,135,†,185,200,24.19,15.92,170648000327,17
WASHINGTON ELEM SCHOOL,Illinois,1720280,62650,1-Regular school,2-No,2-No,2-No,261,185,†,115,146,16.00,16.31,172028002279,17
WASHINGTON ELEM SCHOOL,Illinois,1729670,61348,1-Regular school,2-No,2-No,2-No,161,75,†,82,79,10.05,16.02,172967003083,17
WASHINGTON ELEM SCHOOL,Illinois,1712960,62024,1-Regular school,2-No,2-No,2-No,107,81,†,63,44,4.00,26.75,171296001546,17
WASHINGTON ELEM SCHOOL,Illinois,1732160,61764,1-Regular school,2-No,2-No,2-No,259,127,†,147,112,20.50,12.63,173216003364,17
WASHINGTON ELEM SCHOOL,Illinois,1724600,62959,1-Regular school,2-No,2-No,2-No,536,258,†,296,240,34.00,15.76,172460002668,17
WASHINGTON ELEM SCHOOL,Illinois,1730630,62557,1-Regular school,2-No,2-No,2-No,312,208,†,164,148,17.20,18.14,173063003187,17
WASHINGTON ELEM SCHOOL,Illinois,1727540,60060,1-Regular school,2-No,2-No,2-No,521,192,†,263,258,41.00,12.71,172754002918,17
WASHINGTON ELEM SCHOOL,Illinois,1712330,61021,1-Regular school,2-No,2-No,2-No,528,322,†,272,256,29.32,18.01,171233001486,17
WASHINGTON ELEM SCHOOL,Illinois,1741250,60085,1-Regular school,2-No,2-No,2-No,529,360,†,265,264,†,†,174125004139,17
WASHINGTON ELEM SCHOOL,Illinois,1713140,60025,1-Regular school,2-No,2-No,2-No,305,139,†,167,138,29.00,10.52,171314001555,17
WASHINGTON ELEM SCHOOL,Illinois,1712450,60827,1-Regular school,2-No,2-No,2-No,303,289,†,158,145,22.22,13.64,171245001501,17
WASHINGTON ELEMENTARY SCHOOL,Illinois,1742180,60187,1-Regular school,2-No,2-No,2-No,401,128,†,203,198,30.85,13.00,174218005461,17
WASHINGTON ELEMENTARY SCHOOL,Illinois,1734510,61102,1-Regular school,2-No,2-No,2-No,462,383,†,250,212,31.00,14.90,173451005447,17
WASHINGTON G HIGH SCHOOL,Illinois,1709930,60617,1-Regular school,2-No,2-No,2-No,1435,1231,1435,736,699,83.50,17.19,170993001189,17
WASHINGTON GIFTED SCHOOL,Illinois,1731230,61614,1-Regular school,2-No,1-Yes,2-No,302,67,†,148,154,13.50,22.37,173123000973,17
WASHINGTON INTERMEDIATE SCHOOL,Illinois,1731080,61554,1-Regular school,2-No,2-No,2-No,518,301,†,280,238,32.66,15.86,173108005189,17
WASHINGTON JR HIGH & ACADEMY PRGM,Illinois,1720580,60433,1-Regular school,2-No,2-No,2-No,798,786,†,405,393,48.65,16.40,172058002348,17
WASHINGTON JR HIGH SCHOOL,Illinois,1734410,61201,1-Regular school,2-No,2-No,2-No,500,309,†,262,238,31.90,15.67,173441003529,17
WASHINGTON JR HIGH SCHOOL,Illinois,1727710,60540,1-Regular school,2-No,2-No,2-No,597,75,†,302,295,40.21,14.85,172771002944,17
WASHINGTON JUNIOR HIGH,Illinois,1712450,60827,1-Regular school,2-No,2-No,2-No,108,106,†,64,44,13.00,8.31,171245005040,17
WASHINGTON MIDDLE SCHOOL,Illinois,1723850,60534,1-Regular school,2-No,2-No,2-No,735,548,†,377,358,65.55,11.21,172385002600,17
WASHINGTON MIDDLE SCHOOL,Illinois,1704710,60506,1-Regular school,2-No,2-No,2-No,722,359,†,375,347,46.00,15.70,170471000160,17
WASHINGTON MIDDLE SCHOOL,Illinois,1720550,62951,1-Regular school,2-No,2-No,2-No,318,190,†,151,167,22.00,14.45,172055002322,17
WASHINGTON MIDDLE SCHOOL,Illinois,1737080,62703,1-Regular school,2-No,2-No,2-No,638,469,†,333,305,54.00,11.81,173708003844,17
WASHINGTON MIDDLE SCHOOL,Illinois,1741040,61571,1-Regular school,2-No,2-No,2-No,475,110,†,248,227,29.28,16.22,174104004109,17
WASHINGTON SCHOOL,ILLINOIS,1705610,62220,1-Regular school,2-No,2-No,2-No,169,127,†,94,75,8.50,19.88,170561006367,17
WASHINGTON SCHOOL,Illinois,1726550,61856,1-Regular school,2-No,2-No,2-No,235,51,†,128,107,17.25,13.62,172655000766,17
WASHINGTON-MCKINLEY ELEM SCH,Illinois,1709960,60411,1-Regular school,2-No,2-No,2-No,589,582,†,308,281,60.00,9.82,170996001227,17
WASHINGTON-MONROE ELEM SCHOOL,Illinois,1722980,62656,1-Regular school,2-No,2-No,2-No,219,145,†,126,93,15.95,13.73,172298002541,17
WATERBURY ELEM SCHOOL,Illinois,1720880,60172,1-Regular school,2-No,2-No,2-No,453,165,†,232,221,36.08,12.56,172088002374,17
WATERLOO HIGH SCHOOL,Illinois,1741070,62298,1-Regular school,2-No,2-No,2-No,804,136,804,432,372,51.29,15.68,174107004113,17
WATERLOO JUNIOR HIGH SCHOOL,Illinois,1741070,62298,1-Regular school,2-No,2-No,2-No,632,145,†,317,315,35.50,17.80,174107004112,17
WATERS ELEM SCHOOL,Illinois,1709930,60625,1-Regular school,2-No,2-No,2-No,638,185,†,303,335,32.50,19.63,170993001147,17
WATSEKA COMM HIGH SCHOOL,Illinois,1720170,60970,1-Regular school,2-No,2-No,2-No,338,181,303,173,165,24.74,13.66,172017002269,17
WAUBONSIE VALLEY HIGH SCHOOL,Illinois,1741690,60504,1-Regular school,2-No,2-No,2-No,2593,553,2593,1339,1254,170.76,15.19,174169004173,17
WAUCONDA CUSD 118 ALOP,Illinois,1700193,60084,4-Alternative/other school,2-No,2-No,2-No,†,†,†,†,†,–,–,170019306229,17
WAUCONDA GRADE SCHOOL,Illinois,1741190,60084,1-Regular school,2-No,2-No,2-No,590,280,†,315,275,41.36,14.26,174119004120,17
WAUCONDA HIGH SCHOOL,Illinois,1741190,60084,1-Regular school,2-No,2-No,2-No,1368,518,1368,732,636,90.36,15.14,174119004119,17
WAUCONDA MIDDLE SCHOOL,Illinois,1741190,60084,1-Regular school,2-No,2-No,2-No,636,250,†,340,296,40.18,15.83,174119004121,17
WAUKEGAN HIGH SCHOOL,Illinois,1741250,60085,1-Regular school,2-No,2-No,2-No,4609,2702,4609,2359,2250,245.00,18.81,174125004141,17
WAVERLY ELEMENTARY SCHOOL,Illinois,1741280,62692,1-Regular school,2-No,2-No,2-No,204,74,†,103,101,17.32,11.78,174128004144,17
WAVERLY JR/SR  HIGH SCHOOL,Illinois,1741280,62692,1-Regular school,2-No,2-No,2-No,165,63,115,95,70,13.14,12.56,174128004145,17
WAYNE BUILTA ELEMENTARY SCHOOL,Illinois,1741690,60490,1-Regular school,2-No,2-No,2-No,343,49,†,184,159,25.20,13.61,174169003610,17
WAYNE CITY ATTENDANCE CENTER,Illinois,1741360,62895,1-Regular school,2-No,2-No,2-No,382,192,†,203,179,21.93,17.42,174136004150,17
WAYNE CITY HIGH SCHOOL,Illinois,1741360,62895,1-Regular school,2-No,2-No,2-No,144,57,144,71,73,17.00,8.47,174136004151,17
WAYNE ELEM SCHOOL,Illinois,1713710,60184,1-Regular school,2-No,2-No,2-No,369,77,†,194,175,25.00,14.76,171371001706,17
WAYNE THOMAS ELEM SCHOOL,Illinois,1700119,60035,1-Regular school,2-No,2-No,2-No,324,61,†,173,151,28.40,11.41,170011902200,17
WCISEC ED,ILLINOIS,1700272,62681,2-Special education school,2-No,2-No,2-No,1,†,†,†,1,2.00,="0.50",170027206639,17
WCISEC HS ED,ILLINOIS,1700272,61455,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,–,–,170027206630,17
WCISEC HS MD,ILLINOIS,1700272,62321,2-Special education school,2-No,2-No,2-No,1,†,1,1,†,3.70,="0.27",170027206632,17
WCISEC MD,ILLINOIS,1700272,62326,2-Special education school,2-No,2-No,2-No,2,†,†,2,†,8.60,="0.23",170027206636,17
WCSEA BLACK PATRIDGE PUB DAY,ILLINOIS,1743070,61548,2-Special education school,2-No,2-No,2-No,28,19,15,21,7,5.00,5.60,174307006533,17
WCSEA-BENSON,ILLINOIS,1743070,61516,2-Special education school,2-No,2-No,2-No,3,†,†,2,1,–,†,174307006660,17
WCSEA-GH-4-8,ILLINOIS,1743070,61548,2-Special education school,2-No,2-No,2-No,5,†,†,4,1,–,†,174307006681,17
WCSEA-LOWPOINT WASHBURN,ILLINOIS,1743070,61570,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,–,–,174307006649,17
WCSEA-MGS,ILLINOIS,1743070,61548,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,–,–,174307006676,17
WCSEA-MINONK-K-2,ILLINOIS,1743070,61760,2-Special education school,2-No,2-No,2-No,1,†,†,1,†,–,†,174307006658,17
WCSEA-MTHS-9-12,ILLINOIS,1743070,61548,2-Special education school,2-No,2-No,2-No,8,†,8,5,3,–,†,174307006678,17
WCSEA-RIVERVIEW,ILLINOIS,1743070,61611,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,–,–,174307006677,17
WCSEA-SOWERS-K-4,ILLINOIS,1743070,61561,2-Special education school,2-No,2-No,2-No,4,†,†,2,2,–,†,174307006665,17
WCSEA-WENONA-6-8,ILLINOIS,1743070,61377,2-Special education school,2-No,2-No,2-No,3,†,†,3,†,–,†,174307006654,17
WEBBER HIGH SCHOOL,ILLINOIS,1701417,62814,1-Regular school,2-No,2-No,2-No,122,43,122,58,64,7.72,15.80,170141706393,17
WEBSTER ELEM SCHOOL,Illinois,1709930,60624,1-Regular school,2-No,2-No,2-No,275,228,†,127,148,16.00,17.19,170993001148,17
WEBSTER ELEM SCHOOL,Illinois,1700332,62681,1-Regular school,2-No,2-No,2-No,196,93,†,94,102,13.00,15.08,170033205815,17
WEBSTER ELEMENTARY SCHOOL,Illinois,1710650,62234,1-Regular school,2-No,2-No,2-No,337,222,†,191,146,28.64,11.77,171065001288,17
WEGNER ELEMENTARY SCHOOL,Illinois,1741550,60185,1-Regular school,2-No,2-No,2-No,382,204,†,194,188,33.00,11.58,174155000789,17
WELLS COMMUNITY ACADEMY HS,Illinois,1709930,60622,1-Regular school,2-No,2-No,2-No,358,321,358,197,161,30.50,11.74,170993001192,17
WELLS ELEM SCHOOL,Illinois,1713170,61244,1-Regular school,2-No,2-No,2-No,437,433,†,227,210,25.81,16.93,171317001566,17
WELLS ELEMENTARY SCHOOL,Illinois,1717580,62844,1-Regular school,2-No,2-No,2-No,152,88,†,69,83,13.00,11.69,171758002060,17
WELLS PREPARATORY ELEM ACADEMY,Illinois,1709930,60653,1-Regular school,2-No,2-No,2-No,362,328,†,164,198,22.00,16.45,170993001614,17
WENTWORTH ELEM SCHOOL,Illinois,1709930,60636,1-Regular school,2-No,2-No,2-No,431,404,†,225,206,30.00,14.37,170993001150,17
WENTWORTH INTERMEDIATE SCHOOL,Illinois,1741520,60409,1-Regular school,2-No,2-No,2-No,364,342,†,193,171,24.00,15.17,174152003427,17
WENTWORTH JR HIGH SCHOOL,Illinois,1741520,60409,1-Regular school,2-No,2-No,2-No,407,375,†,200,207,37.00,11.00,174152003426,17
WESCLIN MIDDLE SCHOOL,ILLINOIS,1739420,62293,1-Regular school,2-No,2-No,2-No,493,191,†,258,235,31.09,15.86,173942006347,17
WESCLIN SR HIGH SCHOOL,Illinois,1739420,62293,1-Regular school,2-No,2-No,2-No,379,96,379,184,195,25.75,14.72,173942003990,17
WESCOTT ELEMENTARY SCHOOL,Illinois,1724420,60062,1-Regular school,2-No,2-No,2-No,414,8,†,212,202,35.10,11.79,172442002650,17
WESLEY ELEM SCHOOL,Illinois,1703150,60101,1-Regular school,2-No,2-No,2-No,231,121,†,117,114,26.00,8.88,170315000010,17
WESMERE ELEMENTARY SCHOOL,Illinois,1731740,60586,1-Regular school,2-No,2-No,2-No,526,153,†,270,256,37.75,13.93,173174001874,17
WEST 40 ALOP ACHIEVERS,Illinois,1700221,60131,4-Alternative/other school,2-No,2-No,2-No,†,†,†,†,†,–,–,170022106162,17
WEST 40 REG SAFE SCH MIDDLE PRG,Illinois,1700221,60162,4-Alternative/other school,2-No,2-No,2-No,7,†,†,7,†,2.00,3.50,170022104691,17
WEST 40-SR. PLUS,Illinois,1700221,60162,4-Alternative/other school,2-No,2-No,2-No,20,8,20,17,3,2.00,10.00,170022106161,17
WEST AURORA HIGH SCHOOL,Illinois,1704710,60506,1-Regular school,2-No,2-No,2-No,3682,1754,3681,1852,1830,219.40,16.78,170471000174,17
WEST AURORA HS RSSP,Illinois,1700191,60506,4-Alternative/other school,2-No,2-No,2-No,10,7,9,7,3,–,†,170019106187,17
WEST CAMPUS FACILITY,Illinois,1700113,62664,1-Regular school,2-No,2-No,2-No,69,3,†,37,32,3.00,23.00,170011305990,17
WEST CARROLL HIGH SCHOOL,Illinois,1700310,61074,1-Regular school,2-No,2-No,2-No,312,149,312,154,158,22.25,14.02,170031004970,17
WEST CARROLL MIDDLE SCHOOL,Illinois,1700310,61053,1-Regular school,2-No,2-No,2-No,316,151,†,160,156,20.00,15.80,170031004976,17
WEST CARROLL PRIMARY,Illinois,1700310,61074,1-Regular school,2-No,2-No,2-No,440,227,†,217,223,24.50,17.96,170031005013,17
WEST CENTRAL EARLY CHILDHOOD,Illinois,1700319,61460,1-Regular school,2-No,2-No,2-No,59,34,†,39,20,3.00,19.67,170031905600,17
WEST CENTRAL ELEMENTARY SCHOOL,Illinois,1700319,61418,1-Regular school,2-No,2-No,2-No,326,196,†,170,156,27.45,11.88,170031905599,17
WEST CENTRAL HIGH SCHOOL,Illinois,1700319,61418,1-Regular school,2-No,2-No,2-No,232,117,232,117,115,20.15,11.51,170031905597,17
WEST CENTRAL MIDDLE SCHOOL,Illinois,1700319,61480,1-Regular school,2-No,2-No,2-No,152,92,†,75,77,15.00,10.13,170031905598,17
WEST ELEM SCHOOL,Illinois,1738460,60178,1-Regular school,2-No,2-No,2-No,272,128,†,140,132,20.00,13.60,173846003921,17
WEST ELEM SCHOOL,Illinois,1711350,60014,1-Regular school,2-No,2-No,2-No,512,108,†,280,232,37.05,13.82,171135001365,17
WEST ELEMENTARY SCHOOL,Illinois,1703600,62002,1-Regular school,2-No,2-No,2-No,545,302,†,294,251,35.00,15.57,170360004116,17
