School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Location ZIP [Public School] 2018-19,School Type [Public School] 2018-19,Charter School [Public School] 2018-19,Magnet School [Public School] 2018-19,Shared Time School [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year
ADM RICHARD E BYRD ELEM SCHOOL,Illinois,1713770,60007,1-Regular school,2-No,2-No,2-No,364,243,†,197,167,22.03,16.52,171377001713,17
ADOLPH LINK ELEM SCHOOL,Illinois,1734740,60007,1-Regular school,2-No,2-No,2-No,628,50,†,310,318,42.95,14.62,173474003632,17
ADULT LIFE ACADEMY,ILLINOIS,1700023,61938,2-Special education school,2-No,2-No,2-No,19,5,19,10,9,2.00,9.50,170002306578,17
AGASSIZ ELEM SCHOOL,Illinois,1709930,60657,1-Regular school,2-No,2-No,2-No,500,170,†,230,270,38.00,13.16,170993000763,17
AIR FORCE ACAD HIGH SCHOOL,Illinois,1709930,60609,1-Regular school,2-No,2-No,2-No,195,170,195,116,79,18.00,10.83,170993006055,17
AKIN COMM CONS ELEM SCHOOL,Illinois,1703210,62890,1-Regular school,2-No,2-No,2-No,94,44,†,55,39,10.00,9.40,170321000014,17
ALAN B SHEPARD ELEM SCHOOL,Illinois,1706750,60914,1-Regular school,2-No,2-No,2-No,601,297,†,301,300,33.74,17.81,170675000350,17
ALAN B SHEPARD MIDDLE SCHOOL,Illinois,1711980,60015,1-Regular school,2-No,2-No,2-No,497,6,†,258,239,50.80,9.78,171198001437,17
ALBANY PARK MULTICULTURAL ELEM,Illinois,1709930,60625,1-Regular school,2-No,2-No,2-No,282,262,†,145,137,18.50,15.24,170993004962,17
ALBERS ELEM SCHOOL,Illinois,1703270,62215,1-Regular school,2-No,2-No,2-No,205,40,†,120,85,13.60,15.07,170327000015,17
ALBERT CASSENS ELEMENTARY,Illinois,1713530,62034,1-Regular school,2-No,2-No,2-No,505,101,†,237,268,27.40,18.43,171353006020,17
ALBERT EINSTEIN ELEM SCHOOL,Illinois,1734740,60133,1-Regular school,2-No,2-No,2-No,525,144,†,265,260,53.28,9.85,173474003633,17
ALBION GRADE SCHOOL,Illinois,1713500,62806,1-Regular school,2-No,2-No,2-No,449,173,†,230,219,29.84,15.05,171350001634,17
ALCOTT ELEM SCHOOL,Illinois,1709930,60614,1-Regular school,2-No,2-No,2-No,647,83,†,324,323,="0.00",†,170993000804,17
ALCOTT HUMANITIES HIGH SCHOOL,Illinois,1709930,60618,1-Regular school,2-No,2-No,2-No,318,237,318,172,146,64.00,4.97,170993006072,17
ALDEN HEBRON ELEM SCHOOL,Illinois,1703300,60034,1-Regular school,2-No,2-No,2-No,216,95,†,112,104,19.99,10.81,170330004512,17
ALDEN-HEBRON HIGH SCHOOL,Illinois,1703300,60034,1-Regular school,2-No,2-No,2-No,110,32,110,49,61,10.95,10.05,170330000017,17
ALDEN-HEBRON MIDDLE SCHOOL,Illinois,1703300,60034,1-Regular school,2-No,2-No,2-No,94,49,†,46,48,8.60,10.93,170330000016,17
ALDRIDGE ELEM SCHOOL,Illinois,1709930,60827,1-Regular school,2-No,2-No,2-No,186,174,†,94,92,11.00,16.91,170993001168,17
